theta2,theta3,theta4,theta5,theta6,Gx,Gy
0,132.851589948714,12.7675404093191,71.5483577643499,-22.8051076788049,3.50923667637289,0.364263304811314
5,134.286716445431,15.6013564976037,72.972570688996,-21.9756894279926,3.48972191817811,0.419351265882178
10,135.663323476865,18.5434055843041,74.4723762389034,-21.0818930279101,3.46850991734729,0.477776027870473
15,136.981301288764,21.5757241159811,76.0459688486792,-20.1355031006193,3.44529273749808,0.538776740410309
20,138.240350633888,24.6824343971761,77.6908530719201,-19.1465898143513,3.41984083649881,0.601665181508595
25,139.440011081168,27.8494216989387,79.4039056801017,-18.1237016778783,3.39199778916641,0.665820444137874
30,140.579675520785,31.0640348608902,81.1814185768826,-17.0740521544741,3.36167453393244,0.730684217227537
35,141.65859053086,34.3148148422785,83.0191249283058,-16.0036941375807,3.32884359534284,0.795756798470229
40,142.6758427934,37.5912509058898,84.9122099282909,-14.9176801462916,3.29353354566656,0.860593844738636
45,143.630331922869,40.8835615703814,86.8553066614891,-13.8202082657607,3.25582385345642,0.924803802038277
50,144.520729758008,44.1824960643246,88.8424764822943,-12.7147551243443,3.21584020376927,0.988045926296006
55,145.34542585652,47.4791513290529,90.867172456319,-11.6041978590876,3.1737503428169,1.05002879942307
60,146.102458306773,50.7647992685412,92.9221834470678,-10.4909273488004,3.12976049341226,1.11050925042826
65,146.789428373089,54.0307186927444,94.9995554738948,-9.37695509285906,3.08411239653899,1.16929160678549
70,147.403396711172,57.2680261342161,97.090486002433,-8.26401613877704,3.03708105310506,1.22622721959818
75,147.940757938285,60.4674990470666,99.1851856020244,-7.15367060222585,2.98897327147989,1.28121421753759
80,148.39708916646,63.6193840676329,101.272700083032,-6.04740646660985,2.9401271671745,1.3341974549887
85,148.766966633692,66.7131815309732,103.34068442973,-4.94674664057039,2.89091282087202,1.3851686205029
90,149.043742908907,69.7373956290614,105.375117512841,-3.8533633754304,2.84173438454099,1.43416647865455
95,149.219274939629,72.6792371297689,107.359943004086,-2.76920321766561,2.7930340515908,1.48127722518706
100,149.283589975013,75.5242619923293,109.276616578131,-1.69662586395655,2.74529849475805,1.52663493153901
105,149.224472988292,78.2559248782589,111.103533922766,-0.638559995851456,2.69906859746573,1.5704220493868
110,149.026956147433,80.855021227609,112.815309450669,0.401321460031398,2.65495355244701,1.6128698803764
115,148.672696659588,83.2989879201653,114.381883771785,1.41841029608401,2.61365041308145,1.65425888771476
120,148.138190166971,85.5609264445269,115.765532535491,2.4065347687129,2.57601568884573,1.69491475860366
125,147.397862237771,87.6089534939037,116.926801072932,3.35937859510305,2.54292906917795,1.73522021847119
130,146.418110949676,89.4043809553751,117.81373732865,4.26827439243634,2.51555862331093,1.7755897133297
135,145.159675118224,90.9006436884945,118.366370712226,5.12347235839373,2.49527295066012,1.81646746835842
140,143.576674342891,92.0418470101433,118.514641106618,5.91411288040485,2.48371999324806,1.85829659875201
145,141.617636485936,92.7620144219295,118.179395500545,6.62916972483169,2.48284500345615,1.90147408321092
150,139.226863847184,92.9849014366929,117.271891531352,7.25711004235649,2.49497010063132,1.94620639286954
155,136.350785533793,92.6267831757289,115.703072142542,7.79049997025732,2.52260930644074,1.99247052664387
160,132.949785757866,91.6057794171076,113.395339862562,8.22585351424306,2.56825246786234,2.03965693749077
165,129.008873512942,89.8519913539386,110.29528590061,8.56638221196904,2.63401220809821,2.08639420733765
170,124.567515272117,87.3345818444955,106.408209678441,8.82608186526069,2.72060646358785,2.13042466804084
175,119.717834171865,84.0723466408531,101.800822486841,9.02283583468287,2.82704034652264,2.16854794813618
180,114.62726034734,80.1591521684896,96.6291021667427,9.17980078786078,2.94953789142216,2.19730387530504
185,109.517071223077,75.7561910805548,91.119910214462,9.31598333895222,3.0818673500734,2.21378890377728
190,104.622652295182,71.061843191508,85.5309116810701,9.44025835722546,3.2165469007122,2.21654168196898
195,100.153916899405,66.2722474583616,80.1079946374671,9.54722380155026,3.34642770802647,2.20578486090419
200,96.2646221371144,61.5463931081011,75.0493083577605,9.61751613542046,3.46608572438677,2.18301554150954
205,93.0396877246838,56.9858933807106,70.4870867293348,9.62026752025548,3.57249011517988,2.15014987886513
210,90.5032932018725,52.635396808195,66.4915367278225,9.51707905218104,3.66479220664975,2.1087656456224
215,88.6357988947543,48.494622564684,63.0849948900513,9.26605597282214,3.7436739056123,2.05969726466047
220,87.3915759192283,44.5344849563551,60.2581794029003,8.82559505974676,3.81061320744746,2.00299278189728
225,86.7131543998619,40.7123082285443,57.9834360062952,8.15806765975701,3.8672759368551,1.93811137888898
230,86.5404925810864,36.9841527244564,56.2233959226482,7.23358594460503,3.91509571474838,1.86423577655568
235,86.815957177796,33.3139050145809,54.9355154479564,6.03373990807948,3.95503551622869,1.7806115214898
240,87.486186425894,29.6792121369924,54.0738078464523,4.55475094828157,3.98751022053253,1.68685290868267
245,88.5020315105089,26.0742965396016,53.5892444567681,2.80918732682396,4.01244951343088,1.58316659482742
250,89.8176147084677,22.50979118915,53.4300825477404,0.825519756968797,4.02947019215,1.4704555561766
255,91.3893006035766,19.0101817184686,53.5428778013496,-1.35456172681511,4.03810703769972,1.35029270088056
260,93.1750534446839,15.6099625659955,53.8743119817607,-3.68032009244925,4.03803955587033,1.22479068455415
265,95.1323676869675,12.3506379211755,54.3717245413438,-6.09526672409575,4.02929791025908,1.0964605861131
270,97.2282413791485,9.27332855037899,54.9940448155559,-8.54651399269244,4.0121756197101,0.967838799994067
275,99.420222228985,6.42552283756966,55.6960551348812,-10.9757652509032,3.98759919783897,0.841735556626918
280,101.67632429148,3.85104116443112,56.4469733431941,-13.3320962679188,3.95672987935274,0.720735911264985
285,103.965807271913,1.59316120936986,57.222258931693,-15.5671117962775,3.92105800129024,0.607308691505961
290,106.261579904673,-0.307954538249712,58.0054089821442,-17.6370097494021,3.88225504097731,0.503682206306277
295,108.54062471193,-1.81761285961859,58.7875776077755,-19.5038780916559,3.8420390928502,0.411752247475544
300,110.784280670001,-2.90920198188942,59.5666616906797,-21.1372288503461,3.80203279836332,0.332993152854735
305,112.978384678715,-3.56670606726594,60.3461004882174,-22.5155985966099,3.76362493059907,0.268382616058593
310,115.113233615589,-3.78683515510897,61.1337735394592,-23.6278551343941,3.72784864955964,0.218356985797164
315,117.182903220761,-3.57839353682117,61.9398203578985,-24.4728182425494,3.69534191107978,0.182846176652606
320,119.184611287551,-2.96121529354562,62.7754106211971,-25.0584495858275,3.66633800618385,0.161334703563599
325,121.117846254253,-1.96359110756432,63.6515026253666,-25.3999711882156,3.64071582528803,0.152965186528518
330,122.983527098853,-0.619222166200345,64.5779949374739,-25.5175929994696,3.61808108139983,0.156652294295489
335,124.783300741562,1.03568664427625,65.5632538442064,-25.4342869406036,3.59785748755639,0.171187462381511
340,126.519027101562,2.96479154480089,66.6139389102407,-25.1739137709733,3.57937123551681,0.195322624581095
345,128.19244977449,5.13327990512627,67.7350277106958,-24.7598350805088,3.56191947922677,0.227829546034923
350,129.805019113157,7.50887977277501,68.9299504400578,-24.2140053167682,3.54482013636764,0.267537058615007
355,131.357823771608,10.0623406319728,70.2007687139401,-23.5564618311441,3.5274445803584,0.313351164838807
360,132.851589948714,12.7675404093191,71.5483577643499,-22.8051076788049,3.50923667637289,0.364263304811314
